model,target_fpr_budget_pct,n_seeds,attack_precision_mean,attack_precision_sd,attack_precision_ci95_low,attack_precision_ci95_high,attack_recall_mean,attack_recall_sd,attack_recall_ci95_low,attack_recall_ci95_high,attack_f1_mean,attack_f1_sd,attack_f1_ci95_low,attack_f1_ci95_high,fpr_mean,fpr_sd,fpr_ci95_low,fpr_ci95_high,alerts_per_1k_normals_mean,alerts_per_1k_normals_sd,alerts_per_1k_normals_ci95_low,alerts_per_1k_normals_ci95_high,raw_false_triggers_per_day_mean,raw_false_triggers_per_day_sd,raw_false_triggers_per_day_ci95_low,raw_false_triggers_per_day_ci95_high,mean_seconds_between_raw_false_triggers_mean,mean_seconds_between_raw_false_triggers_sd,mean_seconds_between_raw_false_triggers_ci95_low,mean_seconds_between_raw_false_triggers_ci95_high,dos_recall_mean,dos_recall_sd,dos_recall_ci95_low,dos_recall_ci95_high,fdi_recall_mean,fdi_recall_sd,fdi_recall_ci95_low,fdi_recall_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
Hybrid AE,0.01,10,0.9993924154873435,0.00012776772188695005,0.9993010159651315,0.9994838150095554,0.5623635521973511,0.12622353344201057,0.4720686758535897,0.6526584285411126,0.7121625107346404,0.10426614162752028,0.6375750062624784,0.7867500152068024,0.00024713723385220976,3.8899013980421545e-05,0.00021931055556586579,0.00027496391213855374,0.24713723385220976,0.03889901398042155,0.21931055556586576,0.27496391213855376,213.52657004830922,33.60874807908422,189.484320008908,237.56882008771044,411.19071428571425,46.288968635593264,378.0775809019831,444.3038476694454,0.7327121688370004,0.00015288931988449703,0.7326027984061719,0.7328215392678289,0.4139623906787001,0.236095685826703,0.24506971135268774,0.5828550700047125,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,0.02,10,0.9994562707944002,0.00012167645490781518,0.9993692287020879,0.9995433128867126,0.6487060791135933,0.0853762047186158,0.5876316214625663,0.7097805367646204,0.7836290925190708,0.06722440705967621,0.7355396486791483,0.8317185363589932,0.00026167471819645737,6.174712005978605e-05,0.00021750348943788965,0.0003058459469550251,0.2616747181964573,0.061747120059786054,0.2175034894378896,0.30584594695502504,226.0869565217391,53.34951173165516,187.9230148743366,264.2508981691416,394.7297502497503,59.4650654588888,352.19100500973656,437.268495489764,0.7328597087690039,0.0001903231478764309,0.7327235597908044,0.7329958577472033,0.575394674341278,0.15968801886460396,0.46116074724570977,0.6896286014368462,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,0.05,10,0.9993595869556678,0.00016694482844185088,0.9992401618197259,0.9994790120916098,0.6951916615646513,0.0353543089519813,0.6699007125000309,0.7204826106292717,0.8195036375217445,0.02516931254947891,0.8014985959709406,0.8375086790725483,0.00033436213991769553,9.407197835913686e-05,0.00026706710054016404,0.00040165717929522703,0.33436213991769553,0.09407197835913687,0.267067100540164,0.40165717929522704,288.88888888888886,81.27818930229425,230.74597486670166,347.03180291107606,314.4365559750595,62.72184571117118,269.56805049034665,359.30506145977233,0.7332413881583167,0.00023374613626142666,0.7330741762454982,0.7334086000711353,0.6620442035262232,0.0661277207397072,0.6147392818189741,0.7093491252334723,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,0.1,10,0.9988689814809669,0.0002647477251446217,0.9986795923674447,0.9990583705944891,0.7304433526961042,0.01846232559879409,0.7172362005787278,0.7436505048134805,0.8437020488182745,0.012629328887035914,0.8346675711811585,0.8527365264553904,0.0006195204866702452,0.00014771676781591232,0.000513850276685467,0.0007251906966550233,0.6195204866702451,0.14771676781591234,0.5138502766854669,0.7251906966550232,535.2657004830918,127.62728739294828,443.9666390562435,626.5647619099401,170.2058055726763,42.2570771834849,139.97691358333498,200.43469756201762,0.7351305407659247,0.0003747906644871255,0.7348624316757905,0.7353986498560589,0.7263600547654308,0.034491929855591054,0.701686014542978,0.7510340949878835,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,0.2,10,0.9968468093641926,0.0002808704239244307,0.9966458867667554,0.9970477319616298,0.7432586199172727,0.0060549252875662235,0.7389271872976758,0.7475900525368696,0.8515626450392725,0.004052645920726832,0.8486635567924267,0.8544617332861183,0.001760153873680444,0.00015134077580906315,0.0016518912045504724,0.0018684165428104155,1.7601538736804436,0.15134077580906313,1.6518912045504721,1.8684165428104151,1520.7729468599032,130.75843029903058,1427.234000731608,1614.3118929881985,57.21143690140944,5.170976178717548,53.51234338135404,60.91053042146484,0.7372538328308422,0.001137350261314274,0.7364402214669035,0.738067444194781,0.7484897594232864,0.010725235951978822,0.7408173878168736,0.7561621310296993,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,0.5,10,0.991269968387587,0.0003826413810685518,0.9909962432331294,0.9915436935420445,0.7522018307524602,0.0038190177508051304,0.7494698700303971,0.7549337914745232,0.8553405454761492,0.0025330425339655984,0.8535285160063595,0.857152574945939,0.004960636965467883,0.00021054610971675132,0.004810021351856747,0.005111252579079018,4.9606369654678835,0.2105461097167514,4.810021351856748,5.111252579079019,4285.990338164251,181.91183879527318,4155.85844800423,4416.122228324271,20.191126528116307,0.8498590112797779,19.583174015295917,20.799079040936697,0.74331900699211,0.0030603197970916697,0.7411297860907817,0.7455082278934382,0.7599402050909498,0.004575484489832333,0.7566671006629866,0.7632133095189131,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,1.0,10,0.9814025530582455,0.001344892276840152,0.9804404750802214,0.9823646310362697,0.7551719503636118,0.001933891740284056,0.7537885275518,0.7565553731754237,0.8535489527603465,0.0010551165845604626,0.852794167824977,0.854303737695716,0.010718599033816428,0.0008051745503053486,0.010142611858743673,0.011294586208889183,10.718599033816426,0.8051745503053486,10.14261185874367,11.294586208889182,9260.86956521739,695.6708114638211,8763.21664595453,9758.52248448025,9.375281825695712,0.6783147705655139,8.890044670149765,9.86051898124166,0.7453781512605042,0.0013803125908245098,0.7443907351162596,0.7463655674047488,0.7637039313755623,0.0024297116364637226,0.7619658203769006,0.7654420423742239,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,2.0,10,0.9585239682040978,0.006016960175667812,0.9542196941894834,0.9628282422187122,0.7584287783535173,0.00037895342481389176,0.7581576914040354,0.7586998653029992,0.8468092406165842,0.0023631229835179837,0.8451187642706667,0.8484997169625018,0.02459742351046699,0.00374106740411229,0.021921225107233516,0.02727362191370046,24.59742351046699,3.74106740411229,21.921225107233514,27.273621913700463,21252.17391304348,3232.282237153019,18939.93849264976,23564.4093334372,4.141871566645047,0.5614609815580012,3.7402265760544635,4.543516557235631,0.7483674385784849,0.00048388022748464875,0.7480212915160911,0.7487135856408786,0.7671938305065803,0.00036298925762738435,0.7669341636343434,0.7674534973788172,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,5.0,10,0.9023560070059504,0.00692970440991978,0.8973987950999789,0.907313218911922,0.764896142876342,0.0023870349719416067,0.76318856092437,0.766603724828314,0.8279449955979377,0.0029858463653669428,0.825809049780305,0.8300809414155703,0.062020263016639834,0.004953868316219884,0.058476479105362675,0.065564046927917,62.02026301663983,4.953868316219886,58.476479105362664,65.56404692791699,53585.507246376816,4280.142225213979,50523.67794703335,56647.33654572028,1.6210358626328838,0.12077666553205296,1.5346374408644206,1.707434284401347,0.7554910513823849,0.002582034029154641,0.7536439755081779,0.757338127256592,0.7730894967727513,0.0022396446450822513,0.7714873515089715,0.7746916420365311,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Hybrid AE,10.0,10,0.835316172962896,0.006329259007418502,0.830788493822262,0.8398438521035299,0.7749294428599162,0.0034266412053502743,0.7724781714093852,0.7773807143104471,0.8039699784412415,0.0025170045309276957,0.8021694218676829,0.8057705350148001,0.114459205582394,0.005655951119340656,0.11041318188934116,0.11850522927544685,114.45920558239398,5.655951119340655,110.41318188934113,118.50522927544682,98892.7536231884,4886.741767110326,95396.98915239074,102388.51809398606,0.875433960170913,0.039619140578214196,0.8470921343496649,0.9037757859921611,0.766011290012188,0.003637683794971745,0.7634090477877175,0.7686135322366586,0.782698594540222,0.0032893581362799596,0.7803455294812233,0.7850516595992206,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
